Description,Total_Quantity_Sold,Total_Revenue,Times_Ordered,Avg_Price
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.60,1,2.08
"REGENCY CAKESTAND 3 TIER",12384,142264.75,1704,12.48
"WHITE HANGING HEART T-LIGHT HOLDER",36706,100392.10,1971,2.89
"JUMBO BAG RED RETROSPOT",46078,85040.54,1600,2.02
"MEDIUM CERAMIC TOP STORAGE JAR",77916,81416.73,195,1.22
"PARTY BUNTING",15283,68785.23,1380,4.87
"ASSORTED COLOUR BIRD ORNAMENT",35263,56413.03,1375,1.68
"RABBIT NIGHT LIGHT",27153,51251.24,801,2.01
"CHILLI LIGHTS",9646,46265.11,519,5.43
"PAPER CHAIN KIT 50'S CHRISTMAS ",15591,42584.13,980,2.94
